plant_name,category,difficulty_level,growth_days,sunlight_min,sunlight_max,temp_min,temp_max,humidity_min,humidity_max,area_min,soils,seasons,locations,care_instructions
Tomato,Vegetable,Easy,70,6,10,20,35,50,80,10,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sunny spot; regular watering; stake vines.
Tomato Plus,Vegetable,Easy,87,6,9,18,35,50,85,12,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sunny spot; regular watering; stake vines.
Tomato Plus,Vegetable,Easy,73,5,11,20,35,55,80,10,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sunny spot; regular watering; stake vines.
Tomato Plus,Vegetable,Easy,76,6,10,21,35,55,80,12,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sunny spot; regular watering; stake vines.
Tomato Local,Vegetable,Easy,73,6,10,18,36,50,85,8,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sunny spot; regular watering; stake vines.
Tomato Giant,Vegetable,Easy,94,5,10,21,35,55,80,10,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sunny spot; regular watering; stake vines.
Tomato Compact,Vegetable,Easy,80,6,11,20,37,50,80,8,loam;potting;sandy,winter;summer,dhaka;chittagong;khulna;rajshahi;sylhet,Sunny spot; regular watering; stake vines.
Chili,Vegetable,Easy,72,6,10,22,35,45,75,8,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Keep soil moist; avoid waterlogging.
Chili F1,Vegetable,Easy,76,7,11,22,35,50,75,6,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Keep soil moist; avoid waterlogging.
Chili Mini,Vegetable,Easy,93,5,10,22,35,50,75,6,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Keep soil moist; avoid waterlogging.
Chili Early,Vegetable,Easy,91,6,11,22,35,50,80,6,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Keep soil moist; avoid waterlogging.
Eggplant,Vegetable,Medium,97,6,10,22,35,50,80,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Water 2–3x/week; light fertilizer during fruiting.
Eggplant Compact,Vegetable,Medium,111,7,9,20,35,50,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Water 2–3x/week; light fertilizer during fruiting.
Eggplant Patio,Vegetable,Medium,83,6,9,23,36,55,80,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Water 2–3x/week; light fertilizer during fruiting.
Eggplant Heirloom,Vegetable,Medium,99,6,11,20,37,55,80,14,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Water 2–3x/week; light fertilizer during fruiting.
Eggplant Hybrid,Vegetable,Medium,84,6,10,22,36,55,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Water 2–3x/week; light fertilizer during fruiting.
Cucumber,Vegetable,Medium,65,6,10,20,34,55,85,15,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; regular watering.
Cucumber Local,Vegetable,Medium,65,5,10,21,35,60,85,15,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; regular watering.
Cucumber Late,Vegetable,Medium,60,6,9,21,36,60,85,17,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; regular watering.
Cucumber Late,Vegetable,Medium,71,6,10,18,35,60,90,13,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; regular watering.
Cucumber Mini,Vegetable,Medium,49,7,11,18,35,60,90,15,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; regular watering.
Cucumber Patio,Vegetable,Medium,68,7,11,21,36,60,85,15,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; regular watering.
Okra,Vegetable,Easy,66,6,10,22,35,50,80,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; harvest young pods.
Okra Early,Vegetable,Easy,65,5,11,22,37,55,80,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; harvest young pods.
Okra Patio,Vegetable,Easy,81,6,11,22,37,50,85,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; harvest young pods.
Okra Plus,Vegetable,Easy,53,5,11,23,35,50,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; harvest young pods.
Okra Patio,Vegetable,Easy,64,7,9,22,37,55,85,12,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; harvest young pods.
Okra Mini,Vegetable,Easy,59,5,9,22,35,50,80,10,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Full sun; harvest young pods.
Bitter Gourd,Vegetable,Medium,86,6,10,22,35,60,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; prune side shoots; steady water.
Bitter Gourd Giant,Vegetable,Medium,92,6,9,20,36,65,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; prune side shoots; steady water.
Bitter Gourd Prime,Vegetable,Medium,98,6,9,22,37,65,90,22,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; prune side shoots; steady water.
Bitter Gourd Patio,Vegetable,Medium,94,6,9,22,36,65,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; prune side shoots; steady water.
Bitter Gourd Gold,Vegetable,Medium,98,5,11,20,36,60,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; prune side shoots; steady water.
Bitter Gourd Gold,Vegetable,Medium,85,6,11,23,35,65,85,22,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; prune side shoots; steady water.
Ridge Gourd,Vegetable,Medium,97,6,10,22,35,60,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; feed monthly.
Ridge Gourd Select,Vegetable,Medium,84,6,9,23,35,65,85,18,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; feed monthly.
Ridge Gourd Nano,Vegetable,Medium,105,6,11,22,35,65,85,22,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; feed monthly.
Ridge Gourd Select,Vegetable,Medium,79,6,9,22,35,65,90,22,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; feed monthly.
Ridge Gourd Giant,Vegetable,Medium,94,6,11,20,37,65,85,22,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; feed monthly.
Ridge Gourd Heirloom,Vegetable,Medium,84,6,9,23,35,60,90,18,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Climbing support; feed monthly.
Snake Gourd,Vegetable,Medium,85,6,10,22,35,60,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Train vines; plenty of sun & water.
Snake Gourd Late,Vegetable,Medium,109,6,10,20,36,65,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Train vines; plenty of sun & water.
Snake Gourd Patio,Vegetable,Medium,94,6,10,23,37,60,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Train vines; plenty of sun & water.
Snake Gourd Heirloom,Vegetable,Medium,103,7,11,23,35,60,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Train vines; plenty of sun & water.
Snake Gourd Giant,Vegetable,Medium,84,6,11,20,37,65,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Train vines; plenty of sun & water.
Snake Gourd Patio,Vegetable,Medium,98,5,10,23,36,65,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Train vines; plenty of sun & water.
Pumpkin,Vegetable,Medium,113,6,10,20,34,55,85,25,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Space well; mulch to retain moisture.
Pumpkin Local,Vegetable,Medium,110,6,9,21,36,60,90,27,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Space well; mulch to retain moisture.
Pumpkin Nano,Vegetable,Medium,118,7,10,21,34,55,85,25,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Space well; mulch to retain moisture.
Pumpkin Plus,Vegetable,Medium,126,6,9,21,35,55,85,23,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Space well; mulch to retain moisture.
Pumpkin Prolific,Vegetable,Medium,121,5,10,18,36,55,85,23,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Space well; mulch to retain moisture.
Pumpkin Patio,Vegetable,Medium,113,6,9,20,34,60,85,23,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Space well; mulch to retain moisture.
Pumpkin Hybrid,Vegetable,Medium,131,7,10,18,34,55,90,25,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Space well; mulch to retain moisture.
Bottle Gourd,Vegetable,Medium,102,6,10,22,35,60,85,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; strong sun & water.
Bottle Gourd Gold,Vegetable,Medium,113,5,10,23,35,60,90,18,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; strong sun & water.
Bottle Gourd Heirloom,Vegetable,Medium,105,6,9,20,36,60,85,22,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; strong sun & water.
Bottle Gourd Prolific,Vegetable,Medium,83,5,9,20,37,60,90,20,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; strong sun & water.
Bottle Gourd Local,Vegetable,Medium,92,6,10,23,36,65,85,18,loam;potting;sandy,summer;monsoon,dhaka;chittagong;khulna;rajshahi;sylhet,Trellis; strong sun & water.
