plant_name,category,difficulty_level,sunlight_min,sunlight_max,temp_min,temp_max,humidity_min,humidity_max,area_min,growth_days,locations,soils,seasons,care_instructions
টমেটো,সবজি,easy,6,8,18,35,50,70,20,75,dhaka;chittagong;sylhet;rajshahi,loam;sandy,winter;summer,নিয়মিত পানি দিন এবং সাপোর্ট স্টিক দিন
লাউ,সবজি,medium,5,7,20,32,60,80,50,90,dhaka;rajshahi;khulna,clay;loam,monsoon;winter,বড় পাত্র ব্যবহার করুন এবং মাচা তৈরি করুন
শসা,সবজি,easy,4,6,15,30,55,75,15,65,dhaka;chittagong;sylhet,sandy;loam,winter;summer,প্রতিদিন পানি দিন এবং কীটনাশক স্প্রে করুন
পুঁইশাক,শাকসবজি,easy,4,8,20,35,45,85,10,45,dhaka;chittagong;sylhet;rajshahi;khulna,clay;sandy;loam,winter;summer;monsoon,সহজ চাষ - শুধু নিয়মিত পানি দিন
লালশাক,শাকসবজি,easy,5,7,18,32,50,70,8,35,dhaka;rajshahi;khulna,loam;sandy,winter;summer,৩ সপ্তাহ পর পর বীজ বপন করুন
ধনিয়া,মসলা,easy,4,6,15,25,40,60,5,30,dhaka;chittagong;sylhet;rajshahi;khulna,sandy;loam;potting,winter,খুব সহজ - কম পানি দিন
পুদিনা,মসলা,easy,3,6,10,30,50,80,8,40,dhaka;sylhet;rajshahi,loam;potting,winter;summer;monsoon,ছায়ায় রাখুন এবং বেশি পানি দিন
তুলসী,ভেষজ,easy,6,8,20,35,45,70,12,50,dhaka;chittagong;sylhet;rajshahi;khulna,loam;sandy;potting,winter;summer,পবিত্র গাছ - নিয়মিত যত্ন নিন
রোজমেরি,ভেষজ,medium,6,8,15,25,30,50,15,60,dhaka;chittagong;sylhet,sandy;potting,winter,কম পানি দিন - শুকনা মাটি পছন্দ করে
বেসিল,মসলা,easy,5,7,18,30,50,70,10,45,dhaka;rajshahi;khulna,loam;potting,summer;monsoon,নিয়মিত পাতা ছিঁড়ে নিন
গোলাপ,ফুল,medium,6,8,15,30,50,65,25,120,dhaka;chittagong;sylhet;rajshahi,loam;clay,winter;summer,প্রুনিং করুন এবং জৈব সার দিন
গাঁদা,ফুল,easy,5,7,18,35,45,75,12,70,dhaka;chittagong;sylhet;rajshahi;khulna,sandy;loam;potting,winter;summer,রঙিন ফুল - সহজ চাষ
জবা,ফুল,easy,6,8,20,35,55,80,20,90,dhaka;chittagong;rajshahi,loam;clay,winter;summer;monsoon,নিয়মিত ছাঁটাই করুন
রজনীগন্ধা,ফুল,medium,4,6,18,28,60,75,18,100,dhaka;sylhet;chittagong,loam;sandy,winter,সুগন্ধি ফুল - সন্ধ্যায় ফুটে
বেলি,ফুল,easy,5,7,20,32,50,70,15,85,dhaka;chittagong;sylhet;rajshahi,sandy;loam,winter;summer,সুগন্ধি - নিয়মিত পানি দিন
সূর্যমুখী,ফুল,easy,7,9,20,35,45,65,30,80,dhaka;rajshahi;khulna,sandy;loam,winter;summer,লম্বা হয় - সাপোর্ট দরকার
কসমস,ফুল,easy,6,8,18,30,40,60,15,60,dhaka;chittagong;sylhet,sandy;loam;potting,winter,রঙিন ফুল - খুব সহজ
পর্তুলাকা,ফুল,easy,7,9,25,40,35,55,10,50,dhaka;rajshahi;khulna,sandy;potting,summer,গরমে ভালো - কম পানি
ক্যাকটাস,সাকুলেন্ট,easy,8,10,20,45,20,40,8,365,dhaka;chittagong;rajshahi,sandy;potting,summer,খুবই কম পানি - রোদে রাখুন
অ্যালোভেরা,ভেষজ,easy,6,8,15,35,30,60,12,150,dhaka;chittagong;sylhet;rajshahi;khulna,sandy;potting,winter;summer;monsoon,ঔষধি গুণ - কম পানি
লেমনগ্রাস,মসলা,easy,6,8,20,35,55,75,20,60,dhaka;chittagong;sylhet,loam;sandy,monsoon;winter,চায়ের জন্য - নিয়মিত পানি
আদা,মসলা,medium,4,6,20,30,70,85,15,180,dhaka;sylhet;chittagong,loam;clay,monsoon,ছায়ায় রাখুন - বেশি পানি
হলুদ,মসলা,medium,5,7,22,32,65,80,18,200,dhaka;chittagong;rajshahi,loam;clay,monsoon,দীর্ঘ সময় লাগে - ধৈর্য রাখুন
মরিচ,মসলা,easy,6,8,20,35,50,70,15,90,dhaka;chittagong;sylhet;rajshahi;khulna,sandy;loam,winter;summer,তীব্র মসলা - সাবধানে হ্যান্ডল করুন
বেগুন,সবজি,medium,6,8,22,35,60,75,25,100,dhaka;rajshahi;khulna,loam;clay,winter;summer,বড় ফল - সাপোর্ট দিন
আলু,সবজি,medium,5,7,15,25,55,70,30,120,sylhet;rajshahi;khulna,sandy;loam,winter,ঠান্ডা পছন্দ - শীতে লাগান
পেঁয়াজ,সবজি,easy,5,7,15,30,50,65,10,110,dhaka;chittagong;rajshahi,sandy;loam,winter,ছোট জায়গায় হয় - নিয়মিত পানি
রসুন,মসলা,easy,5,7,10,25,45,65,8,150,sylhet;rajshahi;khulna,sandy;loam,winter,ঠান্ডা পছন্দ - কম পানি
গাজর,সবজি,medium,6,8,15,25,50,65,20,100,dhaka;sylhet;rajshahi,sandy;loam,winter,গভীর মাটি দরকার - ঠান্ডায় মিষ্টি
মূলা,সবজি,easy,4,6,10,25,55,70,15,45,dhaka;chittagong;sylhet;rajshahi;khulna,sandy;loam;clay,winter,দ্রুত বাড়ে - ৩০ দিনেই পাওয়া যায়
পালংশাক,শাকসবজি,easy,4,6,10,20,60,75,8,40,sylhet;rajshahi;khulna,loam;sandy,winter,ঠান্ডা পছন্দ - পুষ্টিকর
বাঁধাকপি,সবজি,hard,5,7,12,22,65,75,35,120,sylhet;rajshahi,loam;clay,winter,ঠান্ডা লাগে - ধৈর্য এবং যত্ন দরকার
ফুলকপি,সবজি,hard,5,7,10,20,70,80,40,110,sylhet;rajshahi;khulna,loam;clay,winter,খুব ঠান্ডা লাগে - কঠিন চাষ
লেটুস,সালাদ,easy,4,6,8,18,65,75,12,50,dhaka;sylhet;chittagong,loam;potting,winter,সালাদ সবজি - ঠান্ডা পছন্দ
স্পিনাচ,শাকসবজি,easy,4,6,12,22,60,70,10,45,sylhet;rajshahi;khulna,loam;sandy,winter,পালংশাকের মতো - ঠান্ডায় ভালো
ব্রকলি,সবজি,hard,5,7,10,20,70,80,30,90,sylhet;rajshahi,loam;clay,winter,পুষ্টিকর কিন্তু কঠিন চাষ
চাইনিজ বাঁধাকপি,সবজি,medium,4,6,15,25,65,75,20,70,dhaka;chittagong;sylhet,loam;sandy,winter,সহজ বাঁধাকপি - দ্রুত বাড়ে
সরিষাশাক,শাকসবজি,easy,5,7,15,25,50,70,8,35,dhaka;rajshahi;khulna,sandy;loam,winter,তেল বীজও পাওয়া যায়
কলমিশাক,শাকসবজি,easy,5,8,20,35,60,85,10,40,dhaka;chittagong;sylhet;rajshahi,loam;clay,summer;monsoon,পানিতে ভালো বাড়ে
থানকুনি,ভেষজ,easy,3,5,18,30,70,85,8,50,dhaka;chittagong;sylhet,loam;clay;potting,monsoon;winter,ছায়ায় বাড়ে - ভেষজ গুণ
নিম,ভেষজ,hard,6,8,20,40,45,75,100,1000,dhaka;chittagong;rajshahi,loam;clay,summer;monsoon,বড় গাছ - প্রাকৃতিক কীটনাশক
পান,ভেষজ,medium,3,5,22,30,75,90,15,120,dhaka;chittagong;sylhet,loam;clay,monsoon,আর্দ্র ছায়া পছন্দ - মাচা দরকার
কারি পাতা,মসলা,medium,5,7,20,35,55,75,20,180,dhaka;chittagong;rajshahi,loam;sandy,winter;summer,রান্নার কাজে - নিয়মিত ছাঁটাই
জামরুল,ফল,hard,6,8,25,35,65,80,200,365,dhaka;chittagong;sylhet,loam;clay,summer;monsoon,বড় গাছ - অনেক জায়গা লাগে
পেয়ারা,ফল,medium,6,8,20,35,55,75,150,200,dhaka;chittagong;rajshahi;khulna,loam;sandy,winter;summer,মাঝারি আকার - নিয়মিত ছাঁটাই
আম,ফল,hard,7,9,25,40,60,80,500,1000,dhaka;chittagong;rajshahi,loam;clay,summer,খুব বড় গাছ - শুধু বড় ছাদে
লেবু,ফল,easy,6,8,18,32,50,70,30,150,dhaka;chittagong;sylhet;rajshahi;khulna,sandy;loam,winter;summer,টবে হয় - নিয়মিত পানি
কমলা,ফল,medium,6,8,15,30,55,70,50,200,dhaka;sylhet;chittagong,loam;sandy,winter,ভিটামিন সি - শীতে ফল
আপেল কুল,ফল,easy,5,7,15,30,50,70,40,120,sylhet;rajshahi;khulna,loam;sandy,winter,দেশি ফল - মিষ্টি স্বাদ
তেঁতুল,ফল,hard,6,8,22,38,50,70,300,800,dhaka;rajshahi;khulna,clay;loam,summer;monsoon,বিশাল গাছ - খুব বড় ছাদে
কাঁঠাল,ফল,hard,6,8,25,35,65,80,400,1200,dhaka;chittagong;sylhet,loam;clay,summer;monsoon,জাতীয় ফল - অনেক বড়
নারকেল,ফল,hard,7,9,25,35,60,75,300,2000,dhaka;chittagong;khulna,sandy;loam,summer;monsoon,সমুদ্র উপকূলে ভালো
খেজুর,ফল,hard,7,9,20,40,40,65,200,1500,dhaka;rajshahi;khulna,sandy;loam,winter;summer,রস ও গুড় পাওয়া যায়
পেঁপে,ফল,easy,6,8,22,35,60,75,25,150,dhaka;chittagong;sylhet;rajshahi;khulna,loam;sandy,summer;monsoon,দ্রুত বাড়ে - পুষ্টিকর
কলা,ফল,medium,5,7,25,35,70,85,50,200,dhaka;chittagong;sylhet,loam;clay,summer;monsoon,মাঝারি জায়গা - আর্দ্র মাটি
ডালিম,ফল,medium,6,8,18,32,45,65,40,180,dhaka;rajshahi;khulna,sandy;loam,winter;summer,স্বাস্থ্যকর ফল - কম পানি
আতা,ফল,medium,6,8,20,32,55,70,60,200,dhaka;chittagong;rajshahi,loam;sandy,winter;summer,মিষ্টি ফল - নিয়মিত যত্ন
শরিফা,ফল,medium,5,7,18,30,60,75,50,180,dhaka;chittagong;sylhet,loam;sandy,winter,আতার মতো - সুস্বাদু
জামুন,ফল,hard,6,8,25,40,60,80,200,500,dhaka;chittagong;rajshahi,loam;clay,summer;monsoon,বড় গাছ - ডায়াবেটিস নিয়ন্ত্রণ
বেল,ফল,hard,7,9,25,40,50,70,150,400,dhaka;rajshahi;khulna,sandy;loam,summer,শক্ত খোলা - পেট ভালো রাখে
আমলকী,ভেষজ,medium,6,8,18,35,55,75,80,250,dhaka;sylhet;rajshahi,loam;sandy,winter,ভিটামিন সি - ভেষজ গুণ
হরিতকী,ভেষজ,hard,6,8,20,35,50,70,100,300,sylhet;rajshahi;khulna,loam;clay,winter;summer,আয়ুর্বেদিক ওষুধ
বহেড়া,ভেষজ,hard,5,7,18,32,55,70,120,350,dhaka;rajshahi;khulna,loam;clay,monsoon;winter,ত্রিফলার উপাদান
